UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Number
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2015/16,35
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,115
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2015/16,25
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2016/17,180
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,195
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2016/17,0
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2016/17,40
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,105
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2016/17,5
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2017/18,185
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,205
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2017/18,0
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2017/18,35
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,95
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2017/18,0
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2018/19,180
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,200
10007849,University of Abertay Dundee,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2018/19,0
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2018/19,35
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,90
10007849,University of Abertay Dundee,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2018/19,0
10007849,Abertay University,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2019/20,185
10007849,Abertay University,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,190
10007849,Abertay University,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2019/20,0
