UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Number
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Academic,Academic,2017/18,210
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,30
10000385,The Arts University Bournemouth,England,South West,Part-time,Academic atypical,Academic,Academic,2017/18,0
10000385,The Arts University Bournemouth,England,South West,Full-time,Non-atypical,Academic,Academic,2018/19,175
10000385,The Arts University Bournemouth,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,150
10000385,The Arts University Bournemouth,England,South West,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Academic,Academic,2018/19,205
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,40
10000385,The Arts University Bournemouth,England,South West,Part-time,Academic atypical,Academic,Academic,2018/19,0
10000385,The Arts University Bournemouth,England,South West,Full-time,Non-atypical,Academic,Academic,2019/20,175
10000385,The Arts University Bournemouth,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,150
10000385,The Arts University Bournemouth,England,South West,Full-time,Academic atypical,Academic,Academic,2019/20,0
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Academic,Academic,2019/20,215
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,35
10000385,The Arts University Bournemouth,England,South West,Part-time,Academic atypical,Academic,Academic,2019/20,0
10000385,The Arts University Bournemouth,England,South West,Full-time,Non-atypical,Academic,Academic,2020/21,180
10000385,The Arts University Bournemouth,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,140
10000385,The Arts University Bournemouth,England,South West,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Academic,Academic,2020/21,190
10000385,The Arts University Bournemouth,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,35
10000385,The Arts University Bournemouth,England,South West,Part-time,Academic atypical,Academic,Academic,2020/21,0
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Academic,Academic,2014/15,570
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,680
10000824,Bournemouth University,England,South West,Full-time,Academic atypical,Academic,Academic,2014/15,0
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Academic,Academic,2014/15,260
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,205
10000824,Bournemouth University,England,South West,Part-time,Academic atypical,Academic,Academic,2014/15,40
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Academic,Academic,2015/16,630
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,695
10000824,Bournemouth University,England,South West,Full-time,Academic atypical,Academic,Academic,2015/16,0
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Academic,Academic,2015/16,305
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,210
10000824,Bournemouth University,England,South West,Part-time,Academic atypical,Academic,Academic,2015/16,50
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Academic,Academic,2016/17,675
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,675
10000824,Bournemouth University,England,South West,Full-time,Academic atypical,Academic,Academic,2016/17,0
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Academic,Academic,2016/17,285
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,195
10000824,Bournemouth University,England,South West,Part-time,Academic atypical,Academic,Academic,2016/17,65
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Academic,Academic,2017/18,655
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,700
10000824,Bournemouth University,England,South West,Full-time,Academic atypical,Academic,Academic,2017/18,0
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Academic,Academic,2017/18,315
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,230
10000824,Bournemouth University,England,South West,Part-time,Academic atypical,Academic,Academic,2017/18,55
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Academic,Academic,2018/19,655
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,690
10000824,Bournemouth University,England,South West,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Academic,Academic,2018/19,280
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,245
10000824,Bournemouth University,England,South West,Part-time,Academic atypical,Academic,Academic,2018/19,30
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Academic,Academic,2019/20,695
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,710
10000824,Bournemouth University,England,South West,Full-time,Academic atypical,Academic,Academic,2019/20,0
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Academic,Academic,2019/20,205
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,240
10000824,Bournemouth University,England,South West,Part-time,Academic atypical,Academic,Academic,2019/20,5
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Academic,Academic,2020/21,750
10000824,Bournemouth University,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,680
10000824,Bournemouth University,England,South West,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Academic,Academic,2020/21,175
10000824,Bournemouth University,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,225
10000824,Bournemouth University,England,South West,Part-time,Academic atypical,Academic,Academic,2020/21,10
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Academic,Academic,2014/15,515
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,805
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Academic atypical,Academic,Academic,2014/15,0
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Academic,Academic,2014/15,125
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,425
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Academic atypical,Academic,Academic,2014/15,535
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Academic,Academic,2015/16,505
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,785
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Academic atypical,Academic,Academic,2015/16,0
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Academic,Academic,2015/16,125
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,385
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Academic atypical,Academic,Academic,2015/16,440
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Academic,Academic,2016/17,470
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,750
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Academic atypical,Academic,Academic,2016/17,0
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Academic,Academic,2016/17,120
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,340
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Academic atypical,Academic,Academic,2016/17,565
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Academic,Academic,2017/18,450
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,720
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Academic atypical,Academic,Academic,2017/18,0
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Academic,Academic,2017/18,125
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,335
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Academic atypical,Academic,Academic,2017/18,515
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Academic,Academic,2018/19,435
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,610
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Academic atypical,Academic,Academic,2018/19,0
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Academic,Academic,2018/19,110
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,310
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Academic atypical,Academic,Academic,2018/19,565
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Academic,Academic,2019/20,425
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,590
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Academic atypical,Academic,Academic,2019/20,0
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Academic,Academic,2019/20,100
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,270
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Academic atypical,Academic,Academic,2019/20,270
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Academic,Academic,2020/21,440
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,620
10007785,The University of Bradford,England,Yorkshire and The Humber,Full-time,Academic atypical,Academic,Academic,2020/21,0
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Academic,Academic,2020/21,105
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,265
10007785,The University of Bradford,England,Yorkshire and The Humber,Part-time,Academic atypical,Academic,Academic,2020/21,365
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Academic,Academic,2014/15,845
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,945
10000886,The University of Brighton,England,South East,Full-time,Academic atypical,Academic,Academic,2014/15,0
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Academic,Academic,2014/15,900
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,735
10000886,The University of Brighton,England,South East,Part-time,Academic atypical,Academic,Academic,2014/15,10
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Academic,Academic,2015/16,845
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,955
10000886,The University of Brighton,England,South East,Full-time,Academic atypical,Academic,Academic,2015/16,0
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Academic,Academic,2015/16,955
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,730
10000886,The University of Brighton,England,South East,Part-time,Academic atypical,Academic,Academic,2015/16,5
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Academic,Academic,2016/17,860
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,970
10000886,The University of Brighton,England,South East,Full-time,Academic atypical,Academic,Academic,2016/17,0
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Academic,Academic,2016/17,880
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,750
10000886,The University of Brighton,England,South East,Part-time,Academic atypical,Academic,Academic,2016/17,5
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Academic,Academic,2017/18,835
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,935
10000886,The University of Brighton,England,South East,Full-time,Academic atypical,Academic,Academic,2017/18,0
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Academic,Academic,2017/18,835
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,700
10000886,The University of Brighton,England,South East,Part-time,Academic atypical,Academic,Academic,2017/18,10
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Academic,Academic,2018/19,835
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,960
10000886,The University of Brighton,England,South East,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Academic,Academic,2018/19,825
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,680
10000886,The University of Brighton,England,South East,Part-time,Academic atypical,Academic,Academic,2018/19,5
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Academic,Academic,2019/20,795
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,940
10000886,The University of Brighton,England,South East,Full-time,Academic atypical,Academic,Academic,2019/20,0
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Academic,Academic,2019/20,785
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,655
10000886,The University of Brighton,England,South East,Part-time,Academic atypical,Academic,Academic,2019/20,5
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Academic,Academic,2020/21,775
10000886,The University of Brighton,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,900
10000886,The University of Brighton,England,South East,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Academic,Academic,2020/21,645
10000886,The University of Brighton,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,590
10000886,The University of Brighton,England,South East,Part-time,Academic atypical,Academic,Academic,2020/21,0
10000936,The British School of Osteopathy,England,London,Full-time,Non-atypical,Academic,Academic,2016/17,5
10000936,The British School of Osteopathy,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,25
10000936,The British School of Osteopathy,England,London,Full-time,Academic atypical,Academic,Academic,2016/17,0
10000936,The British School of Osteopathy,England,London,Part-time,Non-atypical,Academic,Academic,2016/17,95
10000936,The British School of Osteopathy,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,15
10000936,The British School of Osteopathy,England,London,Part-time,Academic atypical,Academic,Academic,2016/17,30
10000936,The University College of Osteopathy,England,London,Full-time,Non-atypical,Academic,Academic,2017/18,5
10000936,The University College of Osteopathy,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,30
10000936,The University College of Osteopathy,England,London,Full-time,Academic atypical,Academic,Academic,2017/18,0
10000936,The University College of Osteopathy,England,London,Part-time,Non-atypical,Academic,Academic,2017/18,95
10000936,The University College of Osteopathy,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,15
10000936,The University College of Osteopathy,England,London,Part-time,Academic atypical,Academic,Academic,2017/18,30
10000936,The University College of Osteopathy,England,London,Full-time,Non-atypical,Academic,Academic,2018/19,10
10000936,The University College of Osteopathy,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,30
10000936,The University College of Osteopathy,England,London,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000936,The University College of Osteopathy,England,London,Part-time,Non-atypical,Academic,Academic,2018/19,90
10000936,The University College of Osteopathy,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,10
10000936,The University College of Osteopathy,England,London,Part-time,Academic atypical,Academic,Academic,2018/19,25
10000936,The University College of Osteopathy*,England,London,Full-time,Non-atypical,Academic,Academic,2019/20,10
10000936,The University College of Osteopathy*,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,
10000936,The University College of Osteopathy*,England,London,Full-time,Academic atypical,Academic,Academic,2019/20,0
10000936,The University College of Osteopathy*,England,London,Part-time,Non-atypical,Academic,Academic,2019/20,90
10000936,The University College of Osteopathy*,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,
10000936,The University College of Osteopathy*,England,London,Part-time,Academic atypical,Academic,Academic,2019/20,25
10000936,The University College of Osteopathy,England,London,Full-time,Non-atypical,Academic,Academic,2020/21,10
10000936,The University College of Osteopathy,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,
10000936,The University College of Osteopathy,England,London,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000936,The University College of Osteopathy,England,London,Part-time,Non-atypical,Academic,Academic,2020/21,70
10000936,The University College of Osteopathy,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,
10000936,The University College of Osteopathy,England,London,Part-time,Academic atypical,Academic,Academic,2020/21,20
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Academic,Academic,2014/15,2305
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,1895
10007786,The University of Bristol,England,South West,Full-time,Academic atypical,Academic,Academic,2014/15,0
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Academic,Academic,2014/15,590
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,1230
10007786,The University of Bristol,England,South West,Part-time,Academic atypical,Academic,Academic,2014/15,1470
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Academic,Academic,2015/16,2395
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,1950
10007786,The University of Bristol,England,South West,Full-time,Academic atypical,Academic,Academic,2015/16,0
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Academic,Academic,2015/16,660
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,1235
10007786,The University of Bristol,England,South West,Part-time,Academic atypical,Academic,Academic,2015/16,1410
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Academic,Academic,2016/17,2445
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,2005
10007786,The University of Bristol,England,South West,Full-time,Academic atypical,Academic,Academic,2016/17,0
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Academic,Academic,2016/17,735
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,1275
10007786,The University of Bristol,England,South West,Part-time,Academic atypical,Academic,Academic,2016/17,1535
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Academic,Academic,2017/18,2415
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,2280
10007786,The University of Bristol,England,South West,Full-time,Academic atypical,Academic,Academic,2017/18,0
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Academic,Academic,2017/18,705
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,1350
10007786,The University of Bristol,England,South West,Part-time,Academic atypical,Academic,Academic,2017/18,1420
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Academic,Academic,2018/19,2560
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,2445
10007786,The University of Bristol,England,South West,Full-time,Academic atypical,Academic,Academic,2018/19,0
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Academic,Academic,2018/19,725
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,1605
10007786,The University of Bristol,England,South West,Part-time,Academic atypical,Academic,Academic,2018/19,1925
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Academic,Academic,2019/20,2630
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,2630
10007786,The University of Bristol,England,South West,Full-time,Academic atypical,Academic,Academic,2019/20,0
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Academic,Academic,2019/20,755
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,1600
10007786,The University of Bristol,England,South West,Part-time,Academic atypical,Academic,Academic,2019/20,1985
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Academic,Academic,2020/21,2680
10007786,The University of Bristol,England,South West,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,2690
10007786,The University of Bristol,England,South West,Full-time,Academic atypical,Academic,Academic,2020/21,0
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Academic,Academic,2020/21,770
10007786,The University of Bristol,England,South West,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,1565
10007786,The University of Bristol,England,South West,Part-time,Academic atypical,Academic,Academic,2020/21,1855
10000961,Brunel University London,England,London,Full-time,Non-atypical,Academic,Academic,2014/15,750
10000961,Brunel University London,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,840
10000961,Brunel University London,England,London,Full-time,Academic atypical,Academic,Academic,2014/15,0
10000961,Brunel University London,England,London,Part-time,Non-atypical,Academic,Academic,2014/15,450
10000961,Brunel University London,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,265
10000961,Brunel University London,England,London,Part-time,Academic atypical,Academic,Academic,2014/15,95
10000961,Brunel University London,England,London,Full-time,Non-atypical,Academic,Academic,2015/16,730
10000961,Brunel University London,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,895
10000961,Brunel University London,England,London,Full-time,Academic atypical,Academic,Academic,2015/16,0
10000961,Brunel University London,England,London,Part-time,Non-atypical,Academic,Academic,2015/16,400
10000961,Brunel University London,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,285
10000961,Brunel University London,England,London,Part-time,Academic atypical,Academic,Academic,2015/16,105
10000961,Brunel University London,England,London,Full-time,Non-atypical,Academic,Academic,2016/17,695
10000961,Brunel University London,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,900
10000961,Brunel University London,England,London,Full-time,Academic atypical,Academic,Academic,2016/17,0
10000961,Brunel University London,England,London,Part-time,Non-atypical,Academic,Academic,2016/17,440
10000961,Brunel University London,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,275
10000961,Brunel University London,England,London,Part-time,Academic atypical,Academic,Academic,2016/17,30
10000961,Brunel University London,England,London,Full-time,Non-atypical,Academic,Academic,2017/18,685
10000961,Brunel University London,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,890
10000961,Brunel University London,England,London,Full-time,Academic atypical,Academic,Academic,2017/18,0
10000961,Brunel University London,England,London,Part-time,Non-atypical,Academic,Academic,2017/18,400
10000961,Brunel University London,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,260
10000961,Brunel University London,England,London,Part-time,Academic atypical,Academic,Academic,2017/18,170
10000961,Brunel University London,England,London,Full-time,Non-atypical,Academic,Academic,2018/19,740
10000961,Brunel University London,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,920
10000961,Brunel University London,England,London,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000961,Brunel University London,England,London,Part-time,Non-atypical,Academic,Academic,2018/19,405
10000961,Brunel University London,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,235
10000961,Brunel University London,England,London,Part-time,Academic atypical,Academic,Academic,2018/19,210
10000961,Brunel University London,England,London,Full-time,Non-atypical,Academic,Academic,2019/20,795
10000961,Brunel University London,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,1015
10000961,Brunel University London,England,London,Full-time,Academic atypical,Academic,Academic,2019/20,0
10000961,Brunel University London,England,London,Part-time,Non-atypical,Academic,Academic,2019/20,420
10000961,Brunel University London,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2019/20,225
10000961,Brunel University London,England,London,Part-time,Academic atypical,Academic,Academic,2019/20,175
10000961,Brunel University London,England,London,Full-time,Non-atypical,Academic,Academic,2020/21,855
10000961,Brunel University London,England,London,Full-time,Non-atypical,Non-academic,Non-academic,2020/21,1020
10000961,Brunel University London,England,London,Full-time,Academic atypical,Academic,Academic,2020/21,0
10000961,Brunel University London,England,London,Part-time,Non-atypical,Academic,Academic,2020/21,305
10000961,Brunel University London,England,London,Part-time,Non-atypical,Non-academic,Non-academic,2020/21,205
10000961,Brunel University London,England,London,Part-time,Academic atypical,Academic,Academic,2020/21,180
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Academic,Academic,2014/15,285
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,270
10000975,Buckinghamshire New University,England,South East,Full-time,Academic atypical,Academic,Academic,2014/15,0
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Academic,Academic,2014/15,200
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,85
10000975,Buckinghamshire New University,England,South East,Part-time,Academic atypical,Academic,Academic,2014/15,0
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Academic,Academic,2015/16,295
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,275
10000975,Buckinghamshire New University,England,South East,Full-time,Academic atypical,Academic,Academic,2015/16,0
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Academic,Academic,2015/16,170
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,85
10000975,Buckinghamshire New University,England,South East,Part-time,Academic atypical,Academic,Academic,2015/16,0
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Academic,Academic,2016/17,290
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2016/17,270
10000975,Buckinghamshire New University,England,South East,Full-time,Academic atypical,Academic,Academic,2016/17,0
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Academic,Academic,2016/17,170
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2016/17,75
10000975,Buckinghamshire New University,England,South East,Part-time,Academic atypical,Academic,Academic,2016/17,0
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Academic,Academic,2017/18,260
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2017/18,255
10000975,Buckinghamshire New University,England,South East,Full-time,Academic atypical,Academic,Academic,2017/18,0
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Academic,Academic,2017/18,150
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2017/18,55
10000975,Buckinghamshire New University,England,South East,Part-time,Academic atypical,Academic,Academic,2017/18,0
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Academic,Academic,2018/19,250
10000975,Buckinghamshire New University,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2018/19,260
10000975,Buckinghamshire New University,England,South East,Full-time,Academic atypical,Academic,Academic,2018/19,0
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Academic,Academic,2018/19,145
10000975,Buckinghamshire New University,England,South East,Part-time,Non-atypical,Non-academic,Non-academic,2018/19,55
10000975,Buckinghamshire New University,England,South East,Part-time,Academic atypical,Academic,Academic,2018/19,0
10000975,Buckinghamshire New University*,England,South East,Full-time,Non-atypical,Academic,Academic,2019/20,210
10000975,Buckinghamshire New University*,England,South East,Full-time,Non-atypical,Non-academic,Non-academic,2019/20,
10000975,Buckinghamshire New University*,England,South East,Full-time,Academic atypical,Academic,Academic,2019/20,0
